channel,deltaPower,thetaPower,alphaPower,betaPower,gammaPower
1,6.18077526588301,0.788771400016297,0.490009482672847,0.316993245732409,0.211137999987785
2,0.834174383739733,0.236717129831322,0.276196101167588,0.130658240871122,0.0568972726896263
3,9.58181482890912,1.96625479550052,0.839009892743716,0.726489080029227,0.513199265041419
4,3.98511826390571,1.15101086323488,0.804618069788576,0.790042046761828,0.543009705610988
5,29.904883342758,1.78012542193815,0.950541185899622,0.356021786093507,0.138705770515237
6,2.15738950739477,1.07724884573529,0.940347246125046,0.561339362380586,0.483103924063928
7,3.014441668159,1.26991189201153,1.20627267623381,0.569758547777155,0.232448695326229
8,22.0373845698257,5.38163006038624,2.88492284967803,0.992696867571906,0.188904796135523
9,2.74091297272667,0.924841463411962,1.01052654322003,0.479104526734656,0.207744150711248
10,2.18463600723625,0.89012803350905,0.938493379290251,0.616946003398176,0.366063458727948
11,4.40441092218743,1.51644508882934,1.26393572676378,0.52166587564637,0.278545517766841
12,9.40245794546101,2.82944731828537,1.60550958631737,0.538122786014103,0.140374184388516
13,2.91156652768536,1.19345467447408,1.50549491727866,1.25528268730147,1.186607648516
14,3.71871112172839,1.13361163697281,1.10463100585362,0.461142753502153,0.114191196927524
15,3.01498785425957,1.08170758622635,1.12184364863452,0.501492634220117,0.068945376861608
16,7.52008189481864,1.45047955231657,1.22864709646042,0.53502393015128,0.112946238839737
17,4.44363364380263,0.964284876491903,1.21816013821424,0.520235313682416,0.270603537401186
18,5.21040587204027,1.76792573207337,1.72798558259167,0.752941472308881,0.249981359232188
19,3.93473437569981,1.04163999788999,1.51470813106639,0.390793046973885,0.12131280933426
20,4.74071449770886,2.15692592522241,2.59401387988256,1.22167990550393,0.591885762325491
21,3.52615997250017,1.27310361642475,1.23552400643238,0.567656350621342,0.0935646570187297
22,5.91139547802862,2.37921311295194,2.27984023741192,0.890213592762015,0.1737858134147
23,2.36195054316508,0.917265601915208,1.70661951265429,0.461769549949361,0.114654039385598
24,3.93727925983287,1.51599511391008,2.49738949633221,0.74875897811717,0.264581471983803
25,2.13241101073429,0.890171838309029,1.14898804584319,0.542658540346848,0.269273067653202
26,2.70182874539943,1.13941107227672,1.84939898615381,0.865593898969782,0.551625356457104
27,2.87892401405902,0.901945636130283,1.11814671541287,0.688011669838002,0.491739241946996
28,1.98588076279492,0.779736957114005,1.01919433661615,0.676051198797907,0.507645340916238
29,3.87321647098751,1.37422909058934,1.55620790658309,0.968863022433223,0.756743290899
