channel,deltaPower,thetaPower,alphaPower,betaPower,gammaPower
1,1.91150997442192,0.348581668272561,0.157622549797389,0.0882403915062542,0.0276465810761998
2,2.47046965260298,0.32143048051274,0.182746409383608,0.0938314839168884,0.028589238655823
3,3.24252432385657,0.405451989951104,0.229841071558799,0.119080415928469,0.0438783780925264
4,2.6610432506291,0.2757163467434,0.150856117567655,0.101018828443639,0.044134923143267
5,2.14306976660434,0.415147938403312,0.252464014371375,0.126239245356546,0.0456611058929864
6,2.3775000534286,0.273044927095545,0.132537679824026,0.0908230688684892,0.043254220297704
7,1.86232770179747,0.38924044316213,0.185927957230559,0.0802265876596194,0.0144470820793822
8,5.23390957774167,0.441946811250065,0.202718638248854,0.0985242980805956,0.0205037698952124
9,4.63394841173717,0.402150563781794,0.147117549606704,0.0839409581241192,0.0201509045282113
10,2.68260685448879,0.535789205899202,0.258741290180726,0.151788065143586,0.0611034039039065
11,4.48205336441155,0.61954328342383,0.284131856808261,0.166008591666348,0.0693585633992333
12,3.80866023559893,0.451889781908372,0.242422149321684,0.180689269178561,0.0800974562808478
13,3.81683211711937,0.317488501009977,0.229302398073142,0.583656977030586,0.459601189003749
14,6.44149528266579,1.31929741954653,0.755608910759018,0.306726784869054,0.0852632709940195
15,2.99807127083495,0.728004321482309,0.372531934363164,0.192644238053294,0.0583468469152554
16,1.6470083520134,0.211276912439879,0.129590635503715,0.0770616112092391,0.0318963210322775
17,2.56751350548415,0.347774789060921,0.194518676663639,0.152977052141793,0.0896904140359951
18,2.14560533694525,0.362335676274701,0.237357751314116,0.121136197066318,0.0435608823933342
19,5.32358205033967,0.620352691353389,0.338981997084904,0.149743441216219,0.0582727030468329
20,2.44335808567767,0.512431759356522,0.336819161631412,0.153918621103278,0.0435039213949662
21,1.22371749800301,0.298528559072828,0.218921469343164,0.0988863515187043,0.0270669522489941
22,2.06807501561878,0.373737809027941,0.230269366404176,0.108602946689103,0.0391032567865789
23,6.69643104515323,1.06298430351354,0.614504704697613,0.253655857525425,0.0884855947727173
24,2.27428579242089,0.358178082857523,0.257826086341244,0.113021395428733,0.0454945414858223
25,4.83101361541273,0.780664391282975,0.498744236557942,0.200724849779261,0.0510223307446555
26,2.24049702207932,0.369690502280971,0.341744690489065,0.117053352876297,0.0406429334084278
27,4.41207416952368,0.756679663293205,0.491476202666304,0.185968728757389,0.0500158126586009
28,2.53617067142924,0.479697181713725,0.340150070149484,0.133502376087615,0.0445599584677483
29,1.88699609686128,0.363620303478749,0.292674754617447,0.110677790695872,0.0410603247745734
