FromID,ToID
10001,102
10002,103
10003,104
10004,105
10005,109
10006,111
10007,113
10008,115
10009,117
10010,119
10011,123
10012,129
10013,133
10014,135
10015,137
10016,139
10017,141
10018,145
10019,151
10020,155
10021,157
10022,159
10023,161
10024,163
10025,165
10026,169
10027,170
10028,171
10029,172
10030,102
10031,103
10032,104
10033,105
10034,109
10035,111
10036,113
10037,115
10038,117
10039,119
10040,123
10041,129
10042,133
10043,135
10044,137
10045,139
10046,141
10047,145
10048,151
10049,155
10050,157
10051,159
10052,161
10053,163
10054,165
10055,169
10056,170
10057,171
10058,172
10059,102
10060,103
10061,104
10062,105
10063,109
10064,111
10065,113
10066,115
10067,117
10068,119
10069,123
10070,129
10071,133
10072,135
10073,137
10074,139
10075,141
10076,145
10077,151
10078,155
10079,157
10080,159
10081,161
10082,163
10083,165
10084,169
10085,170
10086,171
10087,172
10088,102
10089,103
10090,104
10091,105
10092,109
10093,111
10094,113
10095,115
10096,117
10097,119
10098,123
10099,129
10100,133
10101,135
10102,137
10103,139
10104,141
10105,145
10106,151
10107,155
10108,157
10109,159
10110,161
10111,163
10112,165
10113,169
10114,170
10115,171
10116,172
10117,102
10118,103
10119,104
10120,105
10121,109
10122,111
10123,113
10124,115
10125,117
10126,119
10127,123
10128,129
10129,133
10130,135
10131,137
10132,139
10133,141
10134,145
10135,151
10136,155
10137,157
10138,159
10139,161
10140,163
10141,165
10142,169
10143,170
10144,171
10145,172
10146,102
10147,103
10148,104
10149,105
10150,109
10151,111
10152,113
10153,115
10154,117
10155,119
10156,123
10157,129
10158,133
10159,135
10160,137
10161,139
10162,141
10163,145
10164,151
10165,155
10166,157
10167,159
10168,161
10169,163
10170,165
10171,169
10172,170
10173,171
10174,172
10175,102
10176,103
10177,104
10178,105
10179,109
10180,111
10181,113
10182,115
10183,117
10184,119
10185,123
10186,129
10187,133
10188,135
10189,137
10190,139
10191,141
10192,145
10193,151
10194,155
10195,157
10196,159
10197,161
10198,163
10199,165
10200,169
10201,170
10202,171
10203,172
10204,102
10205,103
10206,104
10207,105
10208,109
10209,111
10210,113
10211,115
10212,117
10213,119
10214,123
10215,129
10216,133
10217,135
10218,137
10219,139
10220,141
10221,145
10222,151
10223,155
10224,157
10225,159
10226,161
10227,163
10228,165
10229,169
10230,170
10231,171
10232,172
10233,102
10234,103
10235,104
10236,105
10237,109
10238,111
10239,113
10240,115
10241,117
10242,119
10243,123
10244,129
10245,133
10246,135
10247,137
10248,139
10249,141
10250,145
10251,151
10252,155
10253,157
10254,159
10255,161
10256,163
10257,165
10258,169
10259,170
10260,171
10261,172
10262,102
10263,103
10264,104
10265,105
10266,109
10267,111
10268,113
10269,115
10270,117
10271,119
10272,123
10273,129
10274,133
10275,135
10276,137
10277,139
10278,141
10279,145
10280,151
10281,155
10282,157
10283,159
10284,161
10285,163
10286,165
10287,169
10288,170
10289,171
10290,172
10291,102
10292,103
10293,104
10294,105
10295,109
10296,111
10297,113
10298,115
10299,117
10300,119
10301,123
10302,129
10303,133
10304,135
10305,137
10306,139
10307,141
10308,145
10309,151
10310,155
10311,157
10312,159
10313,161
10314,163
10315,165
10316,169
10317,170
10318,171
10319,172
10320,102
10321,103
10322,104
10323,105
10324,109
10325,111
10326,113
10327,115
10328,117
10329,119
10330,123
10331,129
10332,133
10333,135
10334,137
10335,139
10336,141
10337,145
10338,151
10339,155
10340,157
10341,159
10342,161
10343,163
10344,165
10345,169
10346,170
10347,171
10348,172
10349,102
10350,103
10351,104
10352,105
10353,109
10354,111
10355,113
10356,115
10357,117
10358,119
10359,123
10360,129
10361,133
10362,135
10363,137
10364,139
10365,141
10366,145
10367,151
10368,155
10369,157
10370,159
10371,161
10372,163
10373,165
10374,169
10375,170
10376,171
10377,172
10378,102
10379,103
10380,104
10381,105
10382,109
10383,111
10384,113
10385,115
10386,117
10387,119
10388,123
10389,129
10390,133
10391,135
10392,137
10393,139
10394,141
10395,145
10396,151
10397,155
10398,157
