ID,Name,AbsDist,Lattitude,CircM0,CircM1,Ref_Y,Ref_X,REF_Pole,Study_Common
101,Nz,0,0,1,0,1,0,Nz,0
102,Fp1,1,1,0,1,0,0,,1
103,Fpz,0,1,0,1,1,0,,1
104,Fp2,1,1,0,1,0,0,,1
105,AF7,4,2,0,1,0,0,,1
106,AF3,2,2,0,0,0,0,,0
107,AFz,0,2,0,0,1,0,,0
108,AF4,2,2,0,0,0,0,,0
109,AF8,4,2,0,0,1,0,,1
110,F9,5,3,1,0,0,0,,0
111,F7,4,3,0,1,0,0,,1
112,F5,3,3,0,0,0,0,,0
113,F3,2,3,0,0,0,0,,1
114,F1,1,3,0,0,0,0,,0
115,Fz,0,3,0,0,1,0,,1
116,F2,1,3,0,0,0,0,,0
117,F4,2,3,0,0,0,0,,1
118,F6,3,3,0,0,0,0,,0
119,F8,4,3,0,1,0,0,,1
120,F10,0,3,1,0,0,0,,0
121,FT9,5,4,1,0,0,0,,0
122,FT7,4,4,0,1,0,0,,0
123,FC5,3,4,0,0,0,0,,1
124,FC3,2,4,0,0,0,0,,0
125,FC1,1,4,0,0,0,0,,0
126,FCz,0,4,0,0,1,0,,0
127,FC2,1,4,0,0,0,0,,0
128,FC4,2,4,0,0,0,0,,0
129,FC6,3,4,0,0,0,0,,1
130,FT8,4,4,0,1,0,0,,0
131,FT10,0,4,1,0,0,0,,0
132,A1,1,5,1,0,0,1,LPA,0
133,T7,4,5,0,1,0,1,,1
134,C5,3,5,0,0,0,1,,0
135,C3,2,5,0,0,0,1,,1
136,C1,1,5,0,0,0,1,,0
137,Cz,0,5,0,0,1,1,,1
138,C2,1,5,0,0,0,1,,0
139,C4,2,5,0,0,0,1,,1
140,C6,3,5,0,0,0,1,,0
141,T8,4,5,0,1,0,1,,1
142,A2,1,5,1,0,0,1,RPA,0
143,TP9,5,6,1,0,0,0,,0
144,TP7,4,6,0,1,0,0,,0
145,CP5,3,6,0,0,0,0,,1
146,CP3,2,6,0,0,0,0,,0
147,CP1,1,6,0,0,0,0,,0
148,CPz,0,6,0,0,1,0,,0
149,CP2,1,6,0,0,0,0,,0
150,CP4,2,6,0,0,0,0,,0
151,CP6,3,6,0,0,0,0,,1
152,TP8,4,6,0,1,0,0,,0
153,TP10,0,6,1,0,0,0,,0
154,P9,5,7,1,0,0,0,,0
155,P7,4,7,0,1,0,0,,1
156,P5,3,7,0,0,0,0,,0
157,P3,2,7,0,0,0,0,,1
158,P1,1,7,0,0,0,0,,0
159,Pz,0,7,0,0,1,0,,1
160,P2,1,7,0,0,0,0,,0
161,P4,2,7,0,0,0,0,,1
162,P6,3,7,0,0,0,0,,0
163,P8,4,7,0,1,0,0,,1
164,P10,0,7,1,0,0,0,,0
165,PO7,4,8,0,1,0,0,,1
166,PO3,2,8,0,0,0,0,,0
167,POz,0,8,0,0,1,0,,0
168,PO4,2,8,0,0,0,0,,0
169,PO8,4,8,0,1,0,0,,1
170,O1,1,9,0,1,0,0,,1
171,Oz,0,9,0,1,1,0,,1
172,O2,1,9,0,1,0,0,,1
173,Iz,0,10,1,0,1,0,Iz,0
